Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Fernandez, F,SWA,2.8m,30,0,1,0,1,8,0,42,-,0,3,1,29.3,82
 Gomis, B,SWA,4.7m,19,13,6,0,0,-,-,-,-,0,0,0,17.2,81
 Gabriel,ARS,3.7m,20,2,1,0,0,9,2,18,-,1,3,0,21.9,81
 Puncheon, J,CRY,3.7m,31,0,1,0,6,-,-,-,-,0,4,0,21.9,81
 Ayew, J,AVL,4.0m,26,4,6,0,1,-,-,-,-,1,6,0,20.0,80
 Chadli, N,TOT,4.0m,13,16,6,0,3,-,-,-,-,0,1,0,20.0,80
 Gestede, R,AVL,3.7m,15,18,5,0,3,-,-,-,-,0,2,0,21.6,80
 Sessegnon, S,WBA,3.2m,24,4,2,0,6,-,-,-,-,0,1,0,24.7,79
 Smith, A,BOU,2.2m,23,10,2,0,1,6,8,36,-,0,5,0,35.9,79
 Surman, A,BOU,2.9m,35,0,0,0,4,-,-,-,-,0,4,0,26.9,78
 Francis, S,BOU,2.2m,36,1,0,0,5,6,2,63,-,1,5,0,35.5,78
 Walters, J,STO,4.7m,18,7,6,0,2,-,-,-,-,0,2,0,16.4,77
 Wickham, C,CRY,4.0m,15,6,6,0,4,-,-,-,-,0,1,0,19.2,77
 Stones, J,EVE,3.5m,28,3,0,0,1,7,3,40,-,0,3,0,22.0,77
 Lovren, D,LIV,3.3m,21,2,0,0,0,9,3,20,-,0,3,0,23.3,77
 McClean, J,WBA,3.2m,29,7,2,0,4,-,-,-,-,1,7,0,24.1,77
 Herrera, A,MUN,4.7m,19,10,3,0,6,-,-,-,-,0,5,0,16.2,76
 Ulloa, L,LEI,4.7m,8,21,6,0,3,-,-,-,-,0,0,0,16.2,76
 Shelvey, J,NEW,3.6m,26,4,1,0,8,-,-,-,-,0,9,0,21.1,76
 Gosling, D,BOU,3.0m,28,6,3,0,2,-,-,-,-,0,7,0,25.3,76
 Whelan, G,STO,2.9m,34,1,0,0,4,-,-,-,-,0,5,0,26.2,76
 Kompany, V,MCY,4.0m,13,1,2,0,0,9,1,7,-,0,5,0,18.5,74
 Gueye, I,AVL,3.5m,34,1,1,0,3,-,-,-,-,0,9,0,21.1,74
 Dembele, M,TOT,2.9m,26,3,3,0,2,-,-,-,-,0,2,0,25.5,74
 Olsson, J,WBA,2.9m,23,3,1,0,1,5,5,26,-,0,5,0,25.2,73
